max_rank,min_size,tol,construction_time_sec,hmatrix_stored_elements,hmatrix_compressed_size_bytes,compression_ratio,reconstruction_time_sec,reconstruction_relative_error,hmatrix_mult_time_sec,hmatrix_mult_relative_error,status
8,512,0.1,1.9109599590301514,524288,4194304,32.0,0.02488398551940918,0.9680097209111499,0.00033164024353027344,0.312055473815905,OK
8,512,0.01,1.9049890041351318,524288,4194304,32.0,0.025568723678588867,0.9680097209111499,0.0003249645233154297,0.312055473815905,OK
8,512,0.001,1.9371740818023682,524288,4194304,32.0,0.023537158966064453,0.9680097209111499,0.000308990478515625,0.312055473815905,OK
8,512,0.0001,1.9220001697540283,524288,4194304,32.0,0.024300098419189453,0.9680097209111499,0.00034618377685546875,0.312055473815905,OK
8,512,1e-05,1.8692851066589355,524288,4194304,32.0,0.02346491813659668,0.9680097209111499,0.0003387928009033203,0.312055473815905,OK
8,512,1e-06,1.809701919555664,524288,4194304,32.0,0.022342920303344727,0.9680097209111499,0.00030112266540527344,0.312055473815905,OK
16,512,0.1,1.962158203125,1048576,8388608,16.0,0.02394723892211914,0.9387270458904563,0.0004601478576660156,0.2806667903255878,OK
16,512,0.01,1.9149460792541504,1048576,8388608,16.0,0.026549100875854492,0.9387270458904563,0.0004470348358154297,0.2806667903255878,OK
16,512,0.001,1.9510812759399414,1048576,8388608,16.0,0.02400517463684082,0.9387270458904563,0.0004680156707763672,0.2806667903255878,OK
16,512,0.0001,2.072986125946045,1048576,8388608,16.0,0.027557849884033203,0.9387270458904563,0.0004730224609375,0.2806667903255878,OK
16,512,1e-05,1.8474740982055664,1048576,8388608,16.0,0.02407383918762207,0.9387270458904563,0.0004608631134033203,0.2806667903255878,OK
16,512,1e-06,1.8337407112121582,1048576,8388608,16.0,0.023628950119018555,0.9387270458904563,0.0004489421844482422,0.2806667903255878,OK
8,256,0.1,1.944303035736084,1048576,8388608,16.0,0.02035212516784668,0.9404269721135772,0.0008018016815185547,0.5297088885738658,OK
8,256,0.01,1.801131010055542,1048576,8388608,16.0,0.02027297019958496,0.9404269721135772,0.0008912086486816406,0.5297088885738658,OK
8,256,0.001,1.7161788940429688,1048576,8388608,16.0,0.020826101303100586,0.9404269721135772,0.0008869171142578125,0.5297088885738658,OK
8,256,0.0001,2.0929112434387207,1048576,8388608,16.0,0.02100825309753418,0.9404269721135772,0.0008180141448974609,0.5297088885738658,OK
8,256,1e-05,1.7779557704925537,1048576,8388608,16.0,0.020608901977539062,0.9404269721135772,0.0009019374847412109,0.5297088885738658,OK
8,256,1e-06,1.7308578491210938,1048576,8388608,16.0,0.019727230072021484,0.9404269721135772,0.0008802413940429688,0.5297088885738658,OK
32,512,0.1,1.9042670726776123,2097152,16777216,8.0,0.02804088592529297,0.8837883978626262,0.0006227493286132812,0.24299541560840504,OK
32,512,0.01,1.8529560565948486,2097152,16777216,8.0,0.022562026977539062,0.8837883978626262,0.0005648136138916016,0.24299541560840504,OK
32,512,0.001,1.9255471229553223,2097152,16777216,8.0,0.026548147201538086,0.8837883978626262,0.0006260871887207031,0.24299541560840504,OK
32,512,0.0001,2.0003790855407715,2097152,16777216,8.0,0.025578022003173828,0.8837883978626262,0.0005710124969482422,0.24299541560840504,OK
32,512,1e-05,1.8592820167541504,2097152,16777216,8.0,0.02166008949279785,0.8837883978626262,0.0005958080291748047,0.24299541560840504,OK
32,512,1e-06,1.8204751014709473,2097152,16777216,8.0,0.021122217178344727,0.8837883978626262,0.0005719661712646484,0.24299541560840504,OK
16,256,0.1,1.7531120777130127,2097152,16777216,8.0,0.02121424674987793,0.8861345392154663,0.0010991096496582031,0.41770929006732177,OK
16,256,0.01,1.968317985534668,2097152,16777216,8.0,0.023897171020507812,0.8861345392154663,0.0011730194091796875,0.41770929006732177,OK
16,256,0.001,1.7499878406524658,2097152,16777216,8.0,0.022047996520996094,0.8861345392154663,0.0011861324310302734,0.41770929006732177,OK
16,256,0.0001,1.8983850479125977,2097152,16777216,8.0,0.021815061569213867,0.8861345392154663,0.0011720657348632812,0.41770929006732177,OK
16,256,1e-05,1.780776023864746,2097152,16777216,8.0,0.0210721492767334,0.8861345392154663,0.00115203857421875,0.41770929006732177,OK
16,256,1e-06,1.7330420017242432,2097152,16777216,8.0,0.02079606056213379,0.8861345392154663,0.0011401176452636719,0.41770929006732177,OK
8,128,0.1,1.6858649253845215,2097152,16777216,8.0,0.01865983009338379,0.8874657427427866,0.002710103988647461,0.6110381175522999,OK
8,128,0.01,1.7603771686553955,2097152,16777216,8.0,0.019169092178344727,0.8874657427427866,0.0026700496673583984,0.6110381175522999,OK
8,128,0.001,2.0458738803863525,2097152,16777216,8.0,0.0200040340423584,0.8874657427427866,0.0027649402618408203,0.6110381175522999,OK
8,128,0.0001,1.9984021186828613,2097152,16777216,8.0,0.020312070846557617,0.8874657427427866,0.002706766128540039,0.6110381175522999,OK
8,128,1e-05,1.6448230743408203,2097152,16777216,8.0,0.01870274543762207,0.8874657427427866,0.002755880355834961,0.6110381175522999,OK
8,128,1e-06,1.672672986984253,2097152,16777216,8.0,0.018479108810424805,0.8874657427427866,0.002660036087036133,0.6110381175522999,OK
64,512,0.1,2.0508620738983154,4194304,33554432,4.0,0.029115915298461914,0.7831600708999056,0.0008637905120849609,0.19397046820889016,OK
64,512,0.01,2.148921251296997,4194304,33554432,4.0,0.030225038528442383,0.7831600708999056,0.0009913444519042969,0.19397046820889016,OK
64,512,0.001,1.9127120971679688,4194304,33554432,4.0,0.032507896423339844,0.7831600708999056,0.0008838176727294922,0.19397046820889016,OK
64,512,0.0001,1.973153829574585,4194304,33554432,4.0,0.030617237091064453,0.7831600708999056,0.0008847713470458984,0.19397046820889016,OK
64,512,1e-05,1.8678791522979736,4194304,33554432,4.0,0.031111955642700195,0.7831600708999056,0.0008757114410400391,0.19397046820889016,OK
64,512,1e-06,1.8039741516113281,4194304,33554432,4.0,0.02526092529296875,0.7831600708999056,0.0008330345153808594,0.19397046820889016,OK
32,256,0.1,1.6804659366607666,4194304,33554432,4.0,0.023380041122436523,0.7862689805302654,0.001767873764038086,0.2980527407272306,OK
32,256,0.01,2.134984016418457,4194304,33554432,4.0,0.0232088565826416,0.7862689805302654,0.001764059066772461,0.2980527407272306,OK
32,256,0.001,1.7745699882507324,4194304,33554432,4.0,0.023179054260253906,0.7862689805302654,0.0018067359924316406,0.2980527407272306,OK
32,256,0.0001,1.773867130279541,4194304,33554432,4.0,0.02346515655517578,0.7862689805302654,0.0018169879913330078,0.2980527407272306,OK
32,256,1e-05,1.708784818649292,4194304,33554432,4.0,0.024497032165527344,0.7862689805302654,0.0017938613891601562,0.2980527407272306,OK
32,256,1e-06,1.614074945449829,4194304,33554432,4.0,0.022863149642944336,0.7862689805302654,0.0017719268798828125,0.2980527407272306,OK
16,128,0.1,1.6585218906402588,4194304,33554432,4.0,0.020144939422607422,0.788135842539561,0.0030770301818847656,0.4352816851275401,OK
16,128,0.01,1.6874089241027832,4194304,33554432,4.0,0.020164012908935547,0.788135842539561,0.0030879974365234375,0.4352816851275401,OK
16,128,0.001,1.7805368900299072,4194304,33554432,4.0,0.021078824996948242,0.788135842539561,0.0030410289764404297,0.4352816851275401,OK
16,128,0.0001,2.147757053375244,4194304,33554432,4.0,0.02152395248413086,0.788135842539561,0.0036699771881103516,0.4352816851275401,OK
16,128,1e-05,1.665027141571045,4194304,33554432,4.0,0.020433902740478516,0.788135842539561,0.003081798553466797,0.4352816851275401,OK
16,128,1e-06,1.6743111610412598,4194304,33554432,4.0,0.019765138626098633,0.788135842539561,0.0031049251556396484,0.4352816851275401,OK
8,64,0.1,1.4608030319213867,4194304,33554432,4.0,0.026735782623291016,0.7908681244757199,0.009202957153320312,0.5315254359231436,OK
8,64,0.01,1.3418972492218018,4194304,33554432,4.0,0.0268099308013916,0.7908681244757199,0.009145975112915039,0.5315254359231436,OK
8,64,0.001,1.36983323097229,4194304,33554432,4.0,0.02670907974243164,0.7908681244757199,0.009269952774047852,0.5315254359231436,OK
8,64,0.0001,1.35487699508667,4194304,33554432,4.0,0.02792072296142578,0.7908681244757199,0.009207010269165039,0.5315254359231436,OK
8,64,1e-05,1.3440470695495605,4194304,33554432,4.0,0.027341127395629883,0.7908681244757199,0.009115219116210938,0.5315254359231436,OK
8,64,1e-06,1.342879056930542,4194304,33554432,4.0,0.026786088943481445,0.7908681244757199,0.009166717529296875,0.5315254359231436,OK
128,512,0.1,1.9489750862121582,8388608,67108864,2.0,0.03663802146911621,0.6062068190487511,0.001363992691040039,0.13183456972101704,OK
128,512,0.01,1.9146320819854736,8388608,67108864,2.0,0.036379337310791016,0.6062068190487511,0.001413106918334961,0.13183456972101704,OK
128,512,0.001,2.038752794265747,8388608,67108864,2.0,0.036459922790527344,0.6062068190487511,0.0013229846954345703,0.13183456972101704,OK
128,512,0.0001,2.0465281009674072,8388608,67108864,2.0,0.04854893684387207,0.6062068190487511,0.0013930797576904297,0.13183456972101704,OK
128,512,1e-05,1.833960771560669,8388608,67108864,2.0,0.03177976608276367,0.6062068190487511,0.0012938976287841797,0.13183456972101704,OK
128,512,1e-06,1.7822668552398682,8388608,67108864,2.0,0.031176090240478516,0.6062068190487511,0.0012640953063964844,0.13183456972101704,OK
64,256,0.1,1.5791218280792236,8388608,67108864,2.0,0.026677846908569336,0.6098580080712087,0.0019922256469726562,0.18220562262628345,OK
64,256,0.01,1.9450390338897705,8388608,67108864,2.0,0.027688026428222656,0.6098580080712087,0.001995086669921875,0.18220562262628345,OK
64,256,0.001,1.6621830463409424,8388608,67108864,2.0,0.02927684783935547,0.6098580080712087,0.002012968063354492,0.18220562262628345,OK
64,256,0.0001,1.9146599769592285,8388608,67108864,2.0,0.029521942138671875,0.6098580080712087,0.0021839141845703125,0.18220562262628345,OK
64,256,1e-05,1.5940561294555664,8388608,67108864,2.0,0.02636408805847168,0.6098580080712087,0.0019989013671875,0.18220562262628345,OK
64,256,1e-06,1.5698559284210205,8388608,67108864,2.0,0.026484966278076172,0.6098580080712087,0.0019788742065429688,0.18220562262628345,OK
32,128,0.1,1.6900312900543213,8388608,67108864,2.0,0.025308847427368164,0.6119654677664926,0.005187034606933594,0.24861823143693826,OK
32,128,0.01,1.6752979755401611,8388608,67108864,2.0,0.0232088565826416,0.6119654677664926,0.005163669586181641,0.24861823143693826,OK
32,128,0.001,2.0502848625183105,8388608,67108864,2.0,0.02404308319091797,0.6119654677664926,0.005368947982788086,0.24861823143693826,OK
32,128,0.0001,1.9186270236968994,8388608,67108864,2.0,0.022922992706298828,0.6119654677664926,0.005126237869262695,0.24861823143693826,OK
32,128,1e-05,2.0051119327545166,8388608,67108864,2.0,0.022713899612426758,0.6119654677664926,0.005343914031982422,0.24861823143693826,OK
32,128,1e-06,1.6791529655456543,8388608,67108864,2.0,0.022388935089111328,0.6119654677664926,0.00513911247253418,0.24861823143693826,OK
16,64,0.1,1.3631949424743652,8388608,67108864,2.0,0.0274960994720459,0.6152227359969524,0.00956106185913086,0.31329818365186973,OK
16,64,0.01,1.3627147674560547,8388608,67108864,2.0,0.02801513671875,0.6152227359969524,0.009681224822998047,0.31329818365186973,OK
16,64,0.001,1.3526639938354492,8388608,67108864,2.0,0.031012296676635742,0.6152227359969524,0.010534286499023438,0.31329818365186973,OK
16,64,0.0001,1.3673059940338135,8388608,67108864,2.0,0.028254985809326172,0.6152227359969524,0.009366989135742188,0.31329818365186973,OK
16,64,1e-05,1.3468401432037354,8388608,67108864,2.0,0.028059005737304688,0.6152227359969524,0.009276151657104492,0.31329818365186973,OK
16,64,1e-06,1.3554458618164062,8388608,67108864,2.0,0.027891874313354492,0.6152227359969524,0.009267807006835938,0.31329818365186973,OK
8,32,0.1,1.5858590602874756,8388608,67108864,2.0,0.06014394760131836,0.6193106857239966,0.03307509422302246,0.34525608103143585,OK
8,32,0.01,1.6169710159301758,8388608,67108864,2.0,0.0581820011138916,0.6193106857239966,0.03351902961730957,0.34525608103143585,OK
8,32,0.001,1.6197681427001953,8388608,67108864,2.0,0.06042313575744629,0.6193106857239966,0.032785892486572266,0.34525608103143585,OK
8,32,0.0001,1.6338539123535156,8388608,67108864,2.0,0.0590972900390625,0.6193106857239966,0.03336501121520996,0.34525608103143585,OK
8,32,1e-05,1.664280891418457,8388608,67108864,2.0,0.05822300910949707,0.6193106857239966,0.042260169982910156,0.34525608103143585,OK
