max_rank,min_size,tol,construction_time_sec,hmatrix_stored_elements,hmatrix_compressed_size_bytes,compression_ratio,reconstruction_time_sec,reconstruction_relative_error,hmatrix_mult_time_sec,hmatrix_mult_relative_error,status
8,512,0.1,1.8319969177246094,524288,4194304,32.0,0.022390127182006836,0.9682344877822381,0.00030112266540527344,0.3320979060719584,OK
8,512,0.01,1.8805270195007324,524288,4194304,32.0,0.02303314208984375,0.9682344877822381,0.00032520294189453125,0.3320979060719584,OK
8,512,0.001,2.142510175704956,524288,4194304,32.0,0.026889801025390625,0.9682344877822381,0.00034880638122558594,0.3320979060719584,OK
8,512,0.0001,1.841125249862671,524288,4194304,32.0,0.022861242294311523,0.9682344877822381,0.00032210350036621094,0.3320979060719584,OK
8,512,1e-05,2.177039861679077,524288,4194304,32.0,0.023608922958374023,0.9682344877822381,0.0003368854522705078,0.3320979060719584,OK
8,512,1e-06,1.827418327331543,524288,4194304,32.0,0.0226900577545166,0.9682344877822381,0.00031685829162597656,0.3320979060719584,OK
16,512,0.1,1.8137099742889404,1048576,8388608,16.0,0.02353978157043457,0.9389790751024077,0.000453948974609375,0.297701831318129,OK
16,512,0.01,1.8262007236480713,1048576,8388608,16.0,0.02395009994506836,0.9389790751024077,0.00043272972106933594,0.297701831318129,OK
16,512,0.001,2.0636541843414307,1048576,8388608,16.0,0.02489781379699707,0.9389790751024077,0.00044798851013183594,0.297701831318129,OK
16,512,0.0001,1.86065673828125,1048576,8388608,16.0,0.023339033126831055,0.9389790751024077,0.00043702125549316406,0.297701831318129,OK
16,512,1e-05,1.95756196975708,1048576,8388608,16.0,0.024279117584228516,0.9389790751024077,0.0004379749298095703,0.297701831318129,OK
16,512,1e-06,1.8223097324371338,1048576,8388608,16.0,0.023556232452392578,0.9389790751024077,0.00044417381286621094,0.297701831318129,OK
8,256,0.1,1.7184290885925293,1048576,8388608,16.0,0.015738964080810547,0.9404230717128073,0.0008699893951416016,0.5691013350676553,OK
8,256,0.01,1.7420778274536133,1048576,8388608,16.0,0.01602315902709961,0.9404230717128073,0.000888824462890625,0.5691013350676553,OK
8,256,0.001,1.757742166519165,1048576,8388608,16.0,0.01575183868408203,0.9404230717128073,0.0008702278137207031,0.5691013350676553,OK
8,256,0.0001,1.7073819637298584,1048576,8388608,16.0,0.01577591896057129,0.9404230717128073,0.000972747802734375,0.5691013350676553,OK
8,256,1e-05,1.8033902645111084,1048576,8388608,16.0,0.01595902442932129,0.9404230717128073,0.0008821487426757812,0.5691013350676553,OK
8,256,1e-06,1.9475290775299072,1048576,8388608,16.0,0.020462989807128906,0.9404230717128073,0.0009930133819580078,0.5691013350676553,OK
